arrival_date,label
2017-04-01,3.0
2017-04-02,2.0
2017-04-03,4.0
2017-04-04,1.0
2017-04-05,3.0
2017-04-06,2.0
2017-04-07,2.0
2017-04-08,4.0
2017-04-09,4.0
2017-04-10,3.0
2017-04-11,3.0
2017-04-12,2.0
2017-04-13,5.0
2017-04-14,4.0
2017-04-15,3.0
2017-04-16,3.0
2017-04-17,4.0
2017-04-18,1.0
2017-04-19,2.0
2017-04-20,2.0
2017-04-21,3.0
2017-04-22,3.0
2017-04-23,3.0
2017-04-24,3.0
2017-04-25,1.0
2017-04-26,1.0
2017-04-27,2.0
2017-04-28,5.0
2017-04-29,5.0
2017-04-30,3.0
2017-05-01,4.0
2017-05-02,3.0
2017-05-03,2.0
2017-05-04,3.0
2017-05-05,4.0
2017-05-06,4.0
2017-05-07,3.0
2017-05-08,4.0
2017-05-09,2.0
2017-05-10,2.0
2017-05-11,3.0
2017-05-12,2.0
2017-05-13,3.0
2017-05-14,4.0
2017-05-15,3.0
2017-05-16,2.0
2017-05-17,2.0
2017-05-18,3.0
2017-05-19,3.0
2017-05-20,3.0
2017-05-21,4.0
2017-05-22,3.0
2017-05-23,2.0
2017-05-24,3.0
2017-05-25,4.0
2017-05-26,3.0
2017-05-27,2.0
2017-05-28,4.0
2017-05-29,3.0
2017-05-30,2.0
2017-05-31,2.0
2017-06-01,4.0
2017-06-02,4.0
2017-06-03,4.0
2017-06-04,4.0
2017-06-05,5.0
2017-06-06,3.0
2017-06-07,2.0
2017-06-08,4.0
2017-06-09,3.0
2017-06-10,4.0
2017-06-11,5.0
2017-06-12,4.0
2017-06-13,2.0
2017-06-14,2.0
2017-06-15,4.0
2017-06-16,3.0
2017-06-17,4.0
2017-06-18,4.0
2017-06-19,4.0
2017-06-20,4.0
2017-06-21,3.0
2017-06-22,3.0
2017-06-23,3.0
2017-06-24,3.0
2017-06-25,3.0
2017-06-26,4.0
2017-06-27,3.0
2017-06-28,3.0
2017-06-29,2.0
2017-06-30,3.0
2017-07-01,5.0
2017-07-02,4.0
2017-07-03,5.0
2017-07-04,5.0
2017-07-05,3.0
2017-07-06,4.0
2017-07-07,3.0
2017-07-08,4.0
2017-07-09,6.0
2017-07-10,5.0
2017-07-11,5.0
2017-07-12,3.0
2017-07-13,4.0
2017-07-14,4.0
2017-07-15,8.0
2017-07-16,6.0
2017-07-17,7.0
2017-07-18,4.0
2017-07-19,3.0
2017-07-20,4.0
2017-07-21,4.0
2017-07-22,5.0
2017-07-23,6.0
2017-07-24,7.0
2017-07-25,4.0
2017-07-26,4.0
2017-07-27,5.0
2017-07-28,5.0
2017-07-29,7.0
2017-07-30,5.0
2017-07-31,6.0
2017-08-01,5.0
2017-08-02,5.0
2017-08-03,6.0
2017-08-04,5.0
2017-08-05,6.0
2017-08-06,6.0
2017-08-07,9.0
2017-08-08,4.0
2017-08-09,4.0
2017-08-10,4.0
2017-08-11,4.0
2017-08-12,7.0
2017-08-13,6.0
2017-08-14,5.0
2017-08-15,4.0
2017-08-16,5.0
2017-08-17,6.0
2017-08-18,5.0
2017-08-19,5.0
2017-08-20,6.0
2017-08-21,5.0
2017-08-22,3.0
2017-08-23,4.0
2017-08-24,4.0
2017-08-25,5.0
2017-08-26,6.0
2017-08-27,5.0
2017-08-28,7.0
2017-08-29,3.0
2017-08-30,2.0
2017-08-31,4.0
